,image_name,tags,haze,primary,agriculture,clear,water,habitation,road,cultivation,slash_burn,cloudy,partly_cloudy,conventional_mine,bare_ground,artisinal_mine,blooming,selective_logging,blow_down
30469,train_30469,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21231,train_21231,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18418,train_18418,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18937,train_18937,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16398,train_16398,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27774,train_27774,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30198,train_30198,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16214,train_16214,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21605,train_21605,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27888,train_27888,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17451,train_17451,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30079,train_30079,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5576,train_5576,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34853,train_34853,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25042,train_25042,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23014,train_23014,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11063,train_11063,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18407,train_18407,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16484,train_16484,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25708,train_25708,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5605,train_5605,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20383,train_20383,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26998,train_26998,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32303,train_32303,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6112,train_6112,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19335,train_19335,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39982,train_39982,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28815,train_28815,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11556,train_11556,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22099,train_22099,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,train_1976,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5358,train_5358,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36269,train_36269,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32907,train_32907,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
976,train_976,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10338,train_10338,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39632,train_39632,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20017,train_20017,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23237,train_23237,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14595,train_14595,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19562,train_19562,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37755,train_37755,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4620,train_4620,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3427,train_3427,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11756,train_11756,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28899,train_28899,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29674,train_29674,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27976,train_27976,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18137,train_18137,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23657,train_23657,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17457,train_17457,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26228,train_26228,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28117,train_28117,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17031,train_17031,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18537,train_18537,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6895,train_6895,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7505,train_7505,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33382,train_33382,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2451,train_2451,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33034,train_33034,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22613,train_22613,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1307,train_1307,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4109,train_4109,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12427,train_12427,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18174,train_18174,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40126,train_40126,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16230,train_16230,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27648,train_27648,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14202,train_14202,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31929,train_31929,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21355,train_21355,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14336,train_14336,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12595,train_12595,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18335,train_18335,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12777,train_12777,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10473,train_10473,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37277,train_37277,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38555,train_38555,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4156,train_4156,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23779,train_23779,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30142,train_30142,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16954,train_16954,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30944,train_30944,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24016,train_24016,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26004,train_26004,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35159,train_35159,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9196,train_9196,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30700,train_30700,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6375,train_6375,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36989,train_36989,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21029,train_21029,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12113,train_12113,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14994,train_14994,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36596,train_36596,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20133,train_20133,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12454,train_12454,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29633,train_29633,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37313,train_37313,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8649,train_8649,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31112,train_31112,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14766,train_14766,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13393,train_13393,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15051,train_15051,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10255,train_10255,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24576,train_24576,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19311,train_19311,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26273,train_26273,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39313,train_39313,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11476,train_11476,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18516,train_18516,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15427,train_15427,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10844,train_10844,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7792,train_7792,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11343,train_11343,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22377,train_22377,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36589,train_36589,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14349,train_14349,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9757,train_9757,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12788,train_12788,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23970,train_23970,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21573,train_21573,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38336,train_38336,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16825,train_16825,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21194,train_21194,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30030,train_30030,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18040,train_18040,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34029,train_34029,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18530,train_18530,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27686,train_27686,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13513,train_13513,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19608,train_19608,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7152,train_7152,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5594,train_5594,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29097,train_29097,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26821,train_26821,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12462,train_12462,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17394,train_17394,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29772,train_29772,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22173,train_22173,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22607,train_22607,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,train_1907,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15827,train_15827,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9777,train_9777,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39583,train_39583,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14612,train_14612,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12317,train_12317,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35809,train_35809,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21323,train_21323,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40151,train_40151,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27958,train_27958,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11446,train_11446,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21890,train_21890,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25434,train_25434,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36818,train_36818,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16617,train_16617,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12284,train_12284,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38972,train_38972,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40049,train_40049,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23226,train_23226,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5338,train_5338,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5704,train_5704,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21853,train_21853,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30025,train_30025,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23185,train_23185,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36668,train_36668,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32947,train_32947,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25552,train_25552,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38856,train_38856,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5859,train_5859,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14388,train_14388,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33200,train_33200,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2503,train_2503,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24419,train_24419,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18540,train_18540,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7610,train_7610,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36115,train_36115,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38497,train_38497,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22763,train_22763,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10379,train_10379,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2219,train_2219,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17376,train_17376,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18660,train_18660,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4034,train_4034,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2206,train_2206,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26993,train_26993,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2558,train_2558,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39050,train_39050,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19302,train_19302,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7815,train_7815,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28953,train_28953,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13558,train_13558,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30448,train_30448,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35298,train_35298,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23574,train_23574,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33509,train_33509,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2839,train_2839,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18096,train_18096,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20428,train_20428,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32028,train_32028,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35985,train_35985,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35260,train_35260,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8924,train_8924,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12627,train_12627,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18042,train_18042,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,train_1371,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21088,train_21088,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23769,train_23769,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26429,train_26429,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8790,train_8790,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29439,train_29439,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3214,train_3214,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9034,train_9034,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34015,train_34015,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5135,train_5135,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24680,train_24680,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38710,train_38710,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23486,train_23486,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33907,train_33907,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28103,train_28103,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12602,train_12602,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17830,train_17830,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32559,train_32559,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18389,train_18389,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29396,train_29396,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37629,train_37629,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21790,train_21790,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39574,train_39574,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16768,train_16768,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26659,train_26659,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1193,train_1193,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15561,train_15561,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36521,train_36521,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2132,train_2132,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27218,train_27218,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13140,train_13140,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3190,train_3190,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23668,train_23668,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19123,train_19123,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35012,train_35012,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33395,train_33395,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12020,train_12020,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39637,train_39637,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39450,train_39450,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12999,train_12999,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13796,train_13796,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21359,train_21359,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29588,train_29588,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20965,train_20965,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
232,train_232,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29170,train_29170,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35769,train_35769,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6657,train_6657,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10303,train_10303,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
399,train_399,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11430,train_11430,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
